state,event_count
Colorado,16
Florida,35
Iowa,14
Michigan,14
New Hampshire,15
Nevada,9
North Carolina,31
Ohio,30
Pennsylvania,28
Virginia,18
Wisconsin,9
Arizona,7
California,1
Connecticut,1
Georgia,3
Indiana,2
Maine,3
Minnesota,2
Mississippi,1
Missouri,2
Nebraska,1
New Mexico,3
Texas,1
Utah,1
Washington,1
