"state_po","year","pct_reg_under45","pct_reg_black","pct_reg_hispanic"
"AK",2008,0.47536231884058,0.0289855072463768,0.0260869565217391
"AK",2012,0.445983379501385,0.0332409972299169,0.0277008310249307
"AK",2016,0.449720670391061,0.0391061452513966,0.0474860335195531
"AK",2020,0.43026706231454,0.0326409495548961,0.029673590504451
"AL",2008,0.420426579163249,0.256767842493847,0.00164068908941756
"AL",2012,0.383802816901408,0.242175273865415,0.00469483568075117
"AL",2016,0.41132224861441,0.278701504354711,0.0126682501979414
"AL",2020,0.396385542168675,0.264658634538153,0.0104417670682731
"AR",2008,0.368261199696279,0.12452543659833,0.00607441154138193
"AR",2012,0.402616279069767,0.14171511627907,0.0116279069767442
"AR",2016,0.384615384615385,0.161401098901099,0.0199175824175824
"AR",2020,0.37797147385103,0.145800316957211,0.0340729001584786
"AZ",2008,0.440501043841336,0.0455810716771051,0.142658315935978
"AZ",2012,0.404338549075391,0.0501422475106686,0.183499288762447
"AZ",2016,0.390779014308426,0.05818759936407,0.207949125596184
"AZ",2020,0.368792152053955,0.0404659717964439,0.232066217044758
"CA",2008,0.450923748740343,0.0797447094390326,0.219213973799127
"CA",2012,0.443670226621516,0.0855691586350612,0.239906225579578
"CA",2016,0.426379224652087,0.0721297216699801,0.241177932405567
"CA",2020,0.417909496494583,0.0735500318674315,0.268387507966858
"CO",2008,0.459171112022979,0.0365203118588428,0.0923266311038162
"CO",2012,0.445161290322581,0.0330170777988615,0.107779886148008
"CO",2016,0.463532665053578,0.0438990667127549,0.094020048392672
"CO",2020,0.44234404536862,0.0332703213610586,0.122117202268431
"CT",2008,0.393526405451448,0.0777967064168086,0.0590573537762635
"CT",2012,0.346590909090909,0.105113636363636,0.0721590909090909
"CT",2016,0.361883153715258,0.104934770277935,0.0856494611457742
"CT",2020,0.361529548088065,0.100811123986095,0.0950173812282735
"DC",2008,0.546296296296296,0.54320987654321,0.0339506172839506
"DC",2012,0.561038961038961,0.501298701298701,0.0363636363636364
"DC",2016,0.571428571428571,0.457142857142857,0.0476190476190476
"DC",2020,0.581863979848867,0.425692695214106,0.0604534005037783
"DE",2008,0.402684563758389,0.187919463087248,0.0201342281879195
"DE",2012,0.359574468085106,0.195744680851064,0.0234042553191489
"DE",2016,0.375770020533881,0.205338809034908,0.0390143737166324
"DE",2020,0.358050847457627,0.245762711864407,0.0572033898305085
"FL",2008,0.382151812172327,0.126510143606109,0.157282881240027
"FL",2012,0.356405185673478,0.142276422764228,0.178202592836739
"FL",2016,0.354019158683882,0.123281965847564,0.185235318617243
"FL",2020,0.327186009538951,0.150291467938527,0.182617912029677
"GA",2008,0.464749134948097,0.311851211072664,0.032439446366782
"GA",2012,0.449129431508286,0.316970841199916,0.0293685756240822
"GA",2016,0.411488143908422,0.322567457072772,0.0343417825020442
"GA",2020,0.426239669421488,0.330578512396694,0.0278925619834711
"HI",2008,0.354406130268199,0.00957854406130268,0.0325670498084291
"HI",2012,0.330895795246801,0.0329067641681901,0.0603290676416819
"HI",2016,0.364150943396226,0.0358490566037736,0.0811320754716981
"HI",2020,0.330783938814532,0.0286806883365201,0.0650095602294455
"IA",2008,0.420858895705521,0.0276073619631902,0.0128834355828221
"IA",2012,0.401719197707736,0.0234957020057307,0.0183381088825215
"IA",2016,0.407362703681352,0.0235365117682559,0.0175015087507544
"IA",2020,0.382388419782871,0.0295536791314837,0.0512665862484922
"ID",2008,0.416320885200553,0.0110650069156293,0.0511756569847856
"ID",2012,0.410738255033557,0.00134228187919463,0.0469798657718121
"ID",2016,0.384810126582278,0.00379746835443038,0.069620253164557
"ID",2020,0.379542395693136,0.0148048452220727,0.0686406460296097
"IL",2008,0.452771907006991,0.137050886034791,0.062591448544952
"IL",2012,0.419299610894942,0.15704280155642,0.064591439688716
"IL",2016,0.416054013503376,0.144486121530383,0.0951237809452363
"IL",2020,0.397000659195781,0.147495056031641,0.0884970336189848
"IN",2008,0.44122383252818,0.0760064412238325,0.0144927536231884
"IN",2012,0.391743119266055,0.0966360856269113,0.0217125382262997
"IN",2016,0.418435415403275,0.0903577926015767,0.0209217707701637
"IN",2020,0.396039603960396,0.10507824976046,0.030661130629192
"KS",2008,0.404318689501117,0.0543559195830231,0.032017870439315
"KS",2012,0.385821404226312,0.0504430811179277,0.0368098159509202
"KS",2016,0.406815020862309,0.0570236439499305,0.0528511821974965
"KS",2020,0.387163561076605,0.0455486542443064,0.0489993098688751
"KY",2008,0.440017706949978,0.065958388667552,0.00575475874280655
"KY",2012,0.41511072514112,0.0781589231437256,0.00868432479374729
"KY",2016,0.419440745672437,0.0932090545938748,0.0195295162006214
"KY",2020,0.378401004604437,0.0715780661364588,0.00627877773126831
"LA",2008,0.459256163811116,0.305474300041789,0.0162975344755537
"LA",2012,0.419135308246597,0.314651721377102,0.0228182546036829
"LA",2016,0.431725265739984,0.315208503679477,0.0404742436631235
"LA",2020,0.403446752098984,0.314626601855943,0.0247459125055236
"MA",2008,0.396902520498026,0.0485879137564531,0.0312784694807167
"MA",2012,0.399308326682628,0.0731577547220005,0.0574620909816441
"MA",2016,0.387704918032787,0.0775956284153005,0.0543715846994536
"MA",2020,0.364125560538117,0.0771300448430493,0.0744394618834081
"MD",2008,0.435289957567185,0.302333804809052,0.0328854314002829
"MD",2012,0.406509695290859,0.304709141274238,0.039819944598338
"MD",2016,0.409120102761721,0.315992292870906,0.054592164418754
"MD",2020,0.411954765751212,0.286591276252019,0.0630048465266559
"ME",2008,0.382022471910112,0.00998751560549313,0.0112359550561798
